Date,Home Team,Home Score,Away Team,Away Score
2026-08-29,Helias Catholic,2,Carthage,0
2026-08-29,Parkview,0,Carthage,2
2026-08-29,Springfield Catholic,0,Carthage,2
2026-08-29,Strafford,0,Carthage,2
2026-08-29,Ste. Genevieve,2,Central (Cape Girardeau),0
2026-08-29,Veritas Christian Academy,0,Central (Cape Girardeau),2
2026-08-29,Savannah,2,Central (St. Joseph),0
2026-08-29,Raymore-Peculiar,2,Central (St. Joseph),0
2026-08-29,Mehlville,0,Centralia,2
2026-08-29,Nerinx Hall,2,Clayton,1
2026-08-29,Lutheran North,0,Clayton,2
2026-08-29,Ladue Horton Watkins,2,Clayton,0
2026-08-29,Marshfield,3,Clever,0
2026-08-29,Gainesville,2,Couch,0
2026-08-29,Seymour,0,Couch,2
2026-08-29,Winona,2,Crane,0
2026-08-29,Miller,2,Crane,0
2026-08-29,Marionville,1,Crane,1
2026-08-29,New Heights Christian,1,Crane,2
2026-08-29,Sarcoxie,2,Crane,0
2026-08-29,Owensville,2,Cuba,0
2026-08-29,North County,1,Cuba,2
2026-08-29,Licking,1,Cuba,2
2026-08-29,Ste. Genevieve,2,DeSoto,0
2026-08-29,Poplar Bluff,2,DeSoto,0
2026-08-29,Central (Cape Girardeau),1,DeSoto,1
2026-08-29,Warrenton,2,DeSoto,0
2026-08-29,Stockton,1,Diamond,1
2026-08-29,Osceola,2,Diamond,0
2026-08-29,Pleasant Hope,1,Diamond,1
2026-08-29,St. Pius X (Festus),2,Duchesne,1
2026-08-29,North Platte,0,East Buchanan,2
2026-08-29,Lathrop,0,East Buchanan,2
2026-08-29,Lawson,0,East Buchanan,2
2026-08-29,West Platte,2,East Buchanan,1
2026-08-29,Fair Grove,1,East Newton,1
2026-08-29,Republic,2,East Newton,0
2026-08-29,Kearney,1,East Newton,1
2026-08-29,Stockton,2,El Dorado Springs,0
2026-08-29,Sparta,0,El Dorado Springs,2
2026-08-29,Kearney,1,Fair Grove,1
2026-08-29,Republic,2,Fair Grove,0
2026-08-29,Blair Oaks,2,Farmington,0
2026-08-29,Northland Christian,2,Fatima,0
2026-08-29,Saxony Lutheran,2,Fatima,0
2026-08-29,Sarcoxie,1,Forsyth,1
2026-08-29,New Heights Christian,1,Forsyth,1
2026-08-29,Monett,1,Forsyth,1
2026-08-29,Pierce City,1,Forsyth,1
2026-08-29,Winona,2,Forsyth,0
2026-08-29,Francis Howell North,0,Francis Howell Central,2
2026-08-29,St. Vincent,0,Francis Howell Central,2
